MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
2.5043,41,5.465217391304348,1.1782608695652175,828,3.6,37.75,-122.17
2.39,25,3.9282868525896415,1.2350597609561753,1439,5.733067729083666,33.98,-118.23
3.8158,14,6.306532663316583,1.1419597989949748,2105,2.6444723618090453,35.69,-120.9
3.5707,29,5.503797468,1.058227848101266,1030,2.607594936708861,34.21,-118.22
2.8139,15,5.571932299012694,1.002820874471086,4769,3.363187588152327,38.51,-121.42
3.5833,32,5.829479768786127,1.0375722543352601,855,2.4710982658959537,40.79,-124.13
3.8523,25,5.5,1.1807909604519775,900,2.542372881355932,37.66,-121.78
3.7609,6,4.446478873239436,1.0154929577464789,1695,2.387323943661972,33.55,-117.67
4.712,20,6.265,1.015,1705,2.841666666666667,39.66,-121.77
5.5312,27,5.623376623376624,0.9837662337662337,1115,3.6201298701298703,33.68,-117.95
1.625,1,3,1,8,4,33.86,-116.95
3.7031,25,5.163755458515284,1.0283842794759825,1197,2.613537118,33.75,-117.81
5.1637,36,5.291161178509532,1.100519931,1234,2.1386481802426345,34.03,-118.41
3.053,50,5.12,1.5155555555555555,519,2.3066666666666666,33.52,-117.8
7.1837,20,6.607407407407408,0.9555555555555556,331,2.4518518518518517,35.35,-119.08
1.7083,44,4.349282296650718,0.9856459330143541,1680,4.019138755980861,36.75,-119.77
1.6552,32,4.865853658536586,1.275609756097561,1069,2.607317073170732,33.24,-115.51
9.5268,13,7.139275766016713,0.9902506963788301,2429,3.383008356545961,33.67,-118.07
6.379,12,7.8193979933110365,1.1672240802675586,1543,2.580267558528428,33.51,-117.71
4.3512,24,4.976100628930817,1.0213836477987421,3196,4.020125786163522,33.76,-117.95
1.3092,5,3.295663600525624,1.0867279894875164,2066,2.7148488830486204,32.71,-117.16
7.2965,17,8.474242424242425,1.1090909090909091,1992,3.018181818181818,34.25,-118.85
6.3822,18,7.36013986,1.055944055944056,830,2.902097902097902,33.65,-117.82
4.375,38,5.400843882,0.9746835443037974,828,3.4936708860759493,34.18,-118.17
3.5667,13,34.84375,7.96875,86,2.6875,38.71,-120.32
3.9196,25,7.214477211796247,1.6032171581769437,964,2.584450402144772,39.18,-120.87
1.9615,52,4.882086167800454,1.090702947845805,1168,2.6485260770975056,37.84,-122.28
1.6597,36,3.89010989,0.989010989,1136,4.1611721611721615,33.96,-118.23
14.9009,8,9.860169491525424,1.1144067796610169,899,3.809322033898305,33.59,-117.68
5.6758,15,6.017804154302671,1.0207715133531157,4576,3.394658753709199,37.58,-122.06
1.6429,46,3.8341625207296848,1.0364842454394694,1552,2.573797678,34.03,-118.33
2.5,18,4.136363636363637,1,996,5.03030303,36.72,-120.67
2.096,34,2.466893039049236,0.998302207,1987,3.3735144312393888,34.05,-118.3
5.1496,27,5.224299065420561,1.125233644859813,1073,2.005607476635514,34.15,-118.42
2.6364,48,4.182584269662922,0.9157303370786517,1115,3.1320224719101124,37.73,-122.4
4.4762,30,6.247685185185185,1.0717592592592593,2672,3.0925925925925926,33.94,-117.55
1.375,35,4.0508474576271185,1.0314769975786926,1041,2.5205811138014527,35.38,-118.97
5.5951,44,6.618374558303887,1.010600706713781,635,2.243816254416961,34.04,-118.39
2.6513,21,4.980079681,0.9282868525896414,1428,2.8446215139442232,40.55,-122.36
3.8269,29,5.767543859649122,1.0526315789473684,650,2.8508771929824563,38.25,-122.68
2.1759,16,4.904958677685951,1.078512396694215,1115,4.607438016528926,33.62,-114.61
2.2653,40,3.547396529,1.0600801068090788,2149,2.869158878504673,34.07,-118.31
3.8616,8,6.19,1.088,2967,2.967,38.55,-122.82
10.3682,37,8.077922077922079,1.1233766233766234,394,2.5584415584415585,33.61,-117.92
2.935,52,4.474820143884892,1.1270983213429258,1211,2.904076738609113,34.09,-118.25
2.5,23,4.902127659574468,1.1617021276595745,1077,4.582978723404255,33.63,-116.2
6.8323,33,6.603960396039604,0.9900990099009901,579,2.866336633663366,37.75,-122.14
6.767,52,6.454268292682927,1.076219512195122,734,2.2378048780487805,37.45,-122.15
3.9423,39,5.5096525096525095,1.1833976833976834,1338,2.583011583011583,37.15,-122.13
4.0972,38,5.595982142857143,0.9955357142857143,888,1.9821428571428572,38.57,-121.43
3.875,25,5.601092896174864,1.453551912568306,726,3.9672131147540983,33.86,-117.98
3.0147,13,5.938186813186813,1.401098901098901,2566,3.5247252747252746,38.46,-122.75
3.7433,25,5.025122121423587,1.0614096301465457,3264,2.277739009071877,37.93,-122.07
2.2167,39,3.4474474474474475,1.045045045045045,1161,3.4864864864864864,34.11,-118.24
3.6827,34,5.197508896797153,1.1405693950177935,1541,2.7419928825622777,34.12,-118.08
2.0458,18,5.047727272727273,1.0431818181818182,952,2.1636363636363636,39.78,-121.57
2.2102,37,4.201986754966887,1.1258278145695364,1369,4.533112582781457,32.69,-117.1
2.7989,27,5.9221789883268485,1.0992217898832686,1583,3.0797665369649807,38.52,-121.98
6.2028,35,6.326530612244898,1.0136054421768708,1167,2.6462585034013606,33.72,-118.3
4.5078,36,5.6887966804979255,1.020746887966805,806,3.3443983402489628,34.08,-117.93
4.0598,44,4.3828125,1.12109375,531,2.07421875,33.99,-118.46
1.7083,11,7.976744186046512,1.4767441860465116,246,2.860465116,38.95,-122.63
2.3152,25,5.412844036697248,1.055045871559633,1424,3.2660550458715596,36.21,-119.32
2.4167,25,4.777070063694268,0.9949044585987261,1594,2.0305732484076433,34,-117.04
3.2708,43,5.330409356725146,1.0467836257309941,1065,3.1140350877192984,33.95,-118.31
2.4,28,4.508403361344538,1.0126050420168067,652,2.7394957983193278,38.44,-122.73
1.4589,27,3.512552301,1.1182008368200838,2415,2.526150627615063,34.02,-118.35
2.75,22,5.471698113207547,1.0581761006289307,1541,2.4229559748427674,37.17,-118.3
3.2062,6,4.809847198641766,1.066213921901528,1717,2.9151103565365024,34.05,-117.67
2.1,41,3.4976076555023923,1.0370813397129186,2751,3.290669856,34.19,-118.37
4.7804,17,5.305128205128205,1.0320512820512822,2442,3.1307692307692307,33.78,-117.8
3.5987,19,6.167259786476868,1.0782918149466192,911,3.2419928825622777,36.57,-119.59
5.2534,31,5.425383542538354,0.9916317991631799,1898,2.6471408647140864,37.31,-121.96
4.7216,41,5.7967914438502675,0.9545454545454546,1171,3.1310160427807485,33.69,-118.33
3.1591,35,5.382075471698113,1,924,4.3584905660377355,34.04,-117.96
0.8054,52,2.903225806451613,1.1290322580645162,36,1.1612903225806452,35.38,-119.02
8.0683,20,8.124161073825503,1.0268456375838926,1023,3.4328859060402683,34.15,-117.83
3.7167,48,4.381877022653722,0.9029126213592233,716,2.3171521035598706,34.06,-118.35
2.6607,22,6.508021390374331,1.1978609625668448,537,2.871657754010695,39.34,-121.67
0.536,46,3.142857142857143,1.0476190476190477,37,1.7619047619047619,38.02,-121.84
10.9704,6,10.55813953488372,2.372093023255814,213,4.953488372093023,33.69,-117.53
5.966,48,4.13986014,0.8531468531468531,340,2.3776223776223775,37.69,-122.32
5.5101,35,6.13968254,0.9746031746031746,905,2.873015873015873,34.19,-118.62
3.2216,48,4.853403141361256,0.9424083769633508,1126,2.9476439790575917,34.19,-118.15
2.6321,21,4.132264529058117,1.0561122244488979,2162,2.1663326653306614,37.7,-122.13
3.1136,36,5.7134986225895315,0.9614325068870524,954,2.628099173553719,36.96,-120.08
7.1615,36,6.226666666666667,0.9688888888888889,667,2.9644444444444447,34.16,-118.03
2.8285,17,4.996610169491525,1.0677966101694916,2307,2.606779661016949,35.49,-120.66
4.2227,30,5.698060941828255,1.0290858725761773,1994,2.7617728531855956,38.01,-121.89
2.6902,25,6.671875,2.159375,566,1.76875,32.79,-117.24
1.3191,50,3.4483471074380163,1.1528925619834711,1340,2.768595041322314,37.96,-121.29
4.9615,52,5.989847716,1.0964467005076142,467,2.3705583756345177,37.98,-122.58
2.5556,27,1.875,0.875,332,2.9642857142857144,34.09,-118.32
3.5781,33,6.6415094339622645,1.2877358490566038,520,2.452830188679245,38.34,-122.4
3.0417,52,4.638115631691649,1.0342612419700214,1308,2.8008565310492504,34.17,-118.12
2.6458,10,4.360526315789474,0.9447368421052632,958,2.5210526315789474,36.71,-119.57
2.5104,38,5.6798866855524075,1.0906515580736544,882,2.498583569405099,38.73,-120.81
3.975,52,3.731006160164271,1.0985626283367556,800,1.6427104722792607,37.79,-122.44
3.2404,36,4.955882352941177,1.0147058823529411,223,3.2794117647058822,36.97,-122.03
1.2175,52,2.890909090909091,1.12,1118,4.065454545454545,34.01,-118.28
3.7639,37,4.574297189,1.0200803212851406,1257,2.5240963855421685,33.89,-118.31
3.12,23,5.366492146596858,1.0732984293193717,263,1.3769633507853403,37.86,-122.07
4.3393,43,5.071949947862357,1.013555787278415,3134,3.267987486965589,37.73,-122.39
3.7303,37,4.373786408,0.9271844660194175,599,2.907766990291262,37.66,-122.1
3.1061,19,5.490066225165563,1.0706401766004414,1110,2.4503311258278146,39.76,-121.58
3.7727,27,4.222748815165877,1.1161137440758293,837,1.9834123222748816,34.01,-118.47
3.4472,45,4.468629961587708,0.911651729,2337,2.9923175416133163,37.73,-122.4
3.2818,31,3.617094017094017,1.041025641025641,2559,1.458119658119658,34.09,-118.37
3.3846,15,2.930327868852459,0.8770491803278688,1394,5.713114754098361,33.74,-117.91
6.48,44,6.045070422535211,1.1098591549295775,851,2.397183098591549,34.03,-118.5
4.125,52,5.6397984886649875,1.057934508816121,941,2.370277078085642,34.28,-119.27
3.625,6,4.618012422360248,1.124223602484472,810,2.515527950310559,33.17,-117.22
4.1389,39,5.010204081632653,1.010204081632653,1108,3.7687074829931975,33.97,-118.09
1.6125,52,3.135135135135135,1.364864864864865,286,1.9324324324324325,37.78,-122.4
3.5288,42,5.319600499,1.048689138576779,2013,2.513108614,36.66,-121.65
1.4719,26,3.8758169934640523,1.0147058823529411,1647,2.6911764705882355,34,-117.41
4.8958,49,3.7540106951871657,0.7647058823529411,458,2.449197860962567,34.05,-118.38
2.625,13,6.401486988847584,1.208178439,712,2.646840148698885,37.29,-119.6
5.0544,29,5.875555555555556,1.031111111111111,1372,3.048888888888889,38.24,-122.67
4.2969,30,5.864035087719298,0.9385964912280702,1404,3.0789473684210527,34.11,-117.63
5.2336,34,6.382758620689655,1.0034482758620689,784,2.703448275862069,33.88,-117.91
2.2868,17,5.6,1.0735042735042735,3546,6.061538461538461,41.81,-124.15
2.9141,11,9.855371900826446,2.731404958677686,682,2.8181818181818183,33.62,-116.74
4.4871,2,6.6907001044932075,1.1661442006269593,3327,3.476489028213166,38.01,-121.29
3.1486,14,5.218340611353712,0.9606986899563319,568,2.480349344978166,36.33,-119.35
6.5378,34,6.696078431372549,0.9845938375350141,1879,2.6316526610644257,37.88,-122.06
2.2328,34,3.226973684210526,1.0296052631578947,508,1.6710526315789473,32.75,-117.28
3.8235,47,5.896713615023474,1.0821596244131455,1082,2.539906103286385,33.98,-118.35
3.4299,28,5.030120481927711,0.9590361445783132,2032,2.4481927710843374,38.62,-121.35
6.6536,9,6.961151079136691,1.0920863309352518,2090,3.0071942446043165,33.88,-117.76
2.9375,50,7.008310249307479,1.451523545706371,940,2.6038781163434903,38.42,-122.96
2.0221,20,4.721875,1.025,791,2.471875,39.9,-120.93
4.125,19,5.373737373737374,1.0303030303030303,1317,2.217171717171717,37.94,-122.02
2.025,43,4.303278689,1.0327868852459017,820,3.360655737704918,34.07,-118.12
2.7639,9,8.758620689655173,1.7241379310344827,66,2.2758620689655173,39.04,-122.69
1.8906,27,5.874015748031496,1.547244094488189,717,2.822834645669291,38.94,-119.96
5.8371,35,5.482758620689655,1.1352785145888593,724,1.9204244031830238,33.55,-117.8
8.9021,18,7.283783783783784,1.0405405405405406,555,2.5,37.37,-122.12
3.9766,47,6.277777777777778,1.0694444444444444,310,2.1527777777777777,38.45,-122.7
4.5455,25,5.511326860841424,1.1067961165048543,775,2.5080906148867315,34.68,-118.14
3.623,39,4.161264822134387,0.9952569169960475,3057,2.416600790513834,37.47,-122.23
3.1901,52,4.7309417040358746,1.0179372197309418,3731,4.182735426008969,33.97,-118.21
1.6469,24,4.274193548387097,1.0483870967741935,1686,4.532258064516129,35.87,-119.26
8.7783,14,7.867109634551495,0.9867109634551495,796,2.644518272425249,37.74,-121.01
4.0714,9,6.679279279279279,1.0846846846846847,1601,2.8846846846846845,38.65,-120.97
1.9122,38,4.379052369077307,0.9875311720698254,837,2.0872817955112217,39.15,-121.58
5.3439,23,5.825980392156863,0.9877450980392157,1101,2.698529411764706,33.83,-117.86
5.0482,45,5.800915332,1.0411899313501145,1036,2.3707093821510297,34.17,-118.05
1.6509,45,5.332541567695962,1.0641330166270784,1155,2.7434679334916865,41.43,-122.38
3.7585,19,5.112877583465819,1.0588235294117647,1363,2.166931637519873,33.96,-117.32
2.7083,16,5.1187845303867405,1.0773480662983426,1013,2.798342541436464,37.79,-121.27
5.7843,5,5.923990498812351,0.9833729216152018,1416,3.3634204275534443,32.78,-115.58
4.3375,31,6.240121580547113,1.0212765957446808,867,2.635258358662614,37.7,-122.09
5.2088,52,5.760080645,0.9455645161290323,1431,2.8850806451612905,37.73,-122.46
2.5625,35,6.966101694915254,1.2542372881355932,193,3.2711864406779663,37.96,-121.18
3.0119,22,3.7720090293453725,1.0835214446952597,1005,2.2686230248306996,34.15,-118.12
4.5032,11,6.3,1.0185185185185186,2456,3.0320987654320986,39.82,-121.87
8.8666,25,6.981132075471698,1.0896226415094339,1560,2.452830188679245,34.06,-118.58
3.2589,42,4.215116279069767,1.063953488372093,493,2.866279069767442,33.88,-118.34
2.8892,42,4.681578947368421,1.1342105263157896,1507,3.9657894736842105,33.95,-118.35
6.6704,25,6.829317269076305,1.0220883534136547,1503,3.0180722891566263,33.88,-117.99
4.1883,15,5.341908713692946,1.0771784232365145,2805,2.327800829875519,33.96,-117.34
3.0592,28,5.378516624040921,1.0792838874680306,1167,2.9846547314578005,38.07,-121.25
3.1028,17,5.137254901960785,1.0924369747899159,1253,3.5098039215686274,34.08,-117.48
1.9423,29,4.689458689458689,1.1139601139601139,1296,3.6923076923076925,34.14,-117.33
4.6905,52,5.751173708920188,1.0156494522691706,1553,2.430359937402191,37.98,-122.58
5.1727,35,5.463414634146342,0.989159892,1083,2.934959349593496,33.86,-118.3
4.3214,18,5.645645645645645,1.2612612612612613,681,2.045045045045045,34.15,-118.42
3.2813,31,6.162679425837321,1.0956937799043063,1306,3.124401913875598,36.8,-119.69
2.8942,26,4.718181818181818,1.0393939393939393,1948,2.9515151515151516,32.73,-117.09
4.5568,36,5.750561797752809,1.053932584269663,1358,3.051685393258427,34.2,-118.57
6.1181,18,6.7416201117318435,1.0027932960893855,2471,3.451117318435754,33.7,-117.94
4.125,9,6.655581947743468,1.1187648456057007,1155,2.7434679334916865,33.52,-116.96
1.3125,13,3.4217252396166136,1.159744408945687,3806,3.0399361022364215,34.07,-118.45
1.6767,30,4.087947882736156,0.9674267100977199,779,2.537459283387622,38.05,-122.25
2.4464,25,5.803951367781155,1.0668693009118542,1983,3.013677811550152,39.23,-121.83
2.2045,41,5.122222222222222,1.1888888888888889,284,3.1555555555555554,39.48,-121.55
2.9167,43,4.64,1.216,393,1.572,34.01,-118.47
5.5944,19,6.240143369175628,1.053763440860215,632,2.2652329749103943,37.24,-121.94
2.6997,52,4.0627450980392155,1.0627450980392157,1623,2.1215686274509804,37.83,-122.28
4.8068,44,4.554817275747508,0.8737541528239202,589,1.956810631229236,37.47,-122.19
7.672,42,5.958525346,0.9861751152073732,459,2.1152073732718892,34.15,-118.43
4.6719,32,5.037815126,0.9621848739495799,814,3.4201680672268906,37.36,-121.98
3.0568,19,4.267898383371825,0.9884526558891455,1130,2.6096997690531176,38.47,-122.67
2.8068,24,4.391203703703703,0.9814814814814815,2225,2.5752314814814814,38.68,-121.79
3.2484,16,4.339915373765868,1.0338504936530324,1447,2.0409026798307477,38,-122.04
2.1013,9,4.148148148148148,1.028395061728395,2041,2.5197530864197533,38.02,-121.95
3.5385,14,5.611510791366906,1.0701438848920863,1569,2.8219424460431655,39.32,-120.94
2.9048,32,5.809859154929577,1.102112676056338,802,2.823943661971831,38.9,-121.52
3.5,7,3.8897196261682243,1.2280373831775702,1456,2.721495327102804,34.21,-118.46
2.2804,42,3.828009828009828,1.1253071253071254,1227,3.0147420147420148,32.72,-117.14
3.9722,38,5.292878635907723,1.0110330992978938,2695,2.703109327983952,37.65,-122.44
2.7717,52,3.914396887159533,1.132295719844358,445,1.7315175097276265,37.8,-122.44
2.8036,46,4.053333333333334,1.072,815,2.1733333333333333,37.89,-122.3
8.155,16,7.282798833819242,0.9620991253644315,1027,2.9941690962099123,37.8,-121.98
5.4847,36,5.735562310030395,1.0911854103343466,761,2.313069909,34.17,-118.59
2.6094,38,5.197183098591549,1.0528169014084507,1491,2.625,35.42,-119.03
4.9676,34,5.4309927360774815,1.0750605326876512,973,2.3559322033898304,34.02,-118.42
5.9582,38,6.4534412955465585,1.008097165991903,633,2.562753036437247,34.16,-118.04
7.4351,18,8.448369565,1.361413043478261,949,2.578804347826087,32.83,-117.24
1.1301,14,4.278409090909091,1.0795454545454546,1096,3.1136363636363638,37.06,-120.84
8.7477,52,9,1.1340782122905029,556,3.106145251396648,37.82,-122.23
3.8194,34,5.034129692832765,1.0887372013651877,698,2.3822525597269624,33.93,-117.94
2.9973,19,4.914330218068536,0.8909657320872274,2482,3.866043613707165,34.07,-117.46
5.345,32,5.135416666666667,0.9965277777777778,830,2.8819444444444446,34.38,-119.74
8.5759,32,6.751412429378531,0.9491525423728814,810,2.288135593220339,37.98,-122.53
1.3343,22,3.6855845629965946,0.9750283768444948,4179,4.743473325766175,36.72,-119.75
1.9688,44,3.561403509,1.0935672514619883,1175,3.435672514619883,34.02,-118.16
1.2575,26,3.8875,1.1392857142857142,1971,3.5196428571428573,38.52,-121.47
4.7235,33,4.890824622531939,1.0662020905923344,2389,2.7746806039488967,37.31,-122
3.2614,27,5.947103274559194,1.1309823677581865,1782,4.488664987405541,36.99,-121.54
5.2815,30,6.392434988179669,1.0070921985815602,1289,3.0472813238770686,33.69,-117.91
2.5562,34,3.1692913385826773,1.0098425196850394,2050,4.035433070866142,34.05,-118.02
3.5507,4,7.327988338,1.161807580174927,1869,2.7244897959183674,34.59,-117.24
4.3468,33,4.639815880322209,0.998849252,1695,1.9505178365937859,34.15,-118.41
2.3147,18,4.626865671641791,1.0298507462686568,941,2.808955223880597,40.94,-124.08
3.1875,31,5.462184874,1.072829131652661,870,2.436974789915966,34.17,-118.57
2.16,29,4.958456973293768,1.0919881305637982,821,2.43620178,35.04,-118.15
1.7308,26,4.9294710327455915,1.0806045340050379,945,2.380352644836272,39.52,-121.56
3.5833,39,5.279220779220779,1.2012987012987013,344,2.2337662337662336,33.98,-118.36
4.2098,35,5.673151750972763,1.0194552529182879,723,2.813229571984436,32.79,-117.13
1.899,39,3.601173020527859,1.1114369501466275,851,2.495601173020528,34.96,-120.44
4.3977,49,5.8047138047138045,0.9932659932659933,795,2.676767676767677,37.76,-122.49
3.5735,30,4.782089552238806,0.9611940298507463,1130,3.373134328358209,32.82,-115.37
2.2679,50,5.185667752442996,1.211726384364821,781,2.543973941368078,39.21,-122.01
4.0625,52,3.6451612903225805,0.9301075268817204,791,4.252688172043011,34.11,-118.2
4.7813,21,5.248995983935743,0.9477911646586346,586,2.353413654618474,37.63,-122.04
3.5655,38,5.153846153846154,0.9698996655518395,861,2.879598662207358,34.08,-117.41
3.8534,32,5.599009900990099,1.0297029702970297,1156,2.8613861386138613,37.77,-120.96
4.5395,21,5.866253321523472,1.0664304694419842,3193,2.828166519043401,33.84,-118.04
3.125,39,4.380281690140845,0.9964788732394366,886,3.119718309859155,34.03,-118.46
4.125,26,4.4796875,1.0484375,1955,3.0546875,34.21,-118.43
2.8295,52,4.94025974,1.0545454545454545,1233,3.2025974025974024,34.03,-118.31
2.875,20,4.767676767676767,1.0378787878787878,826,2.085858585858586,38.25,-122.62
1.7774,23,3.6368989205103044,1.085377821393523,3785,3.7144259077526987,38,-121.3
3.2158,11,4.781059063136456,0.9725050916496945,2065,2.1028513238289204,34.27,-119.22
2.6048,17,6.130620985010706,1.423982869379015,715,1.531049250535332,33.02,-117.07
3.8088,27,4.345394736842105,1.125,2665,1.7532894736842106,34.08,-118.39
2.5395,25,4.970588235294118,1.2379679144385027,1070,2.8609625668449197,34.05,-117.68
2.1548,23,3.696485623003195,0.987220447,640,2.0447284345047922,32.61,-117.09
6.9682,15,6.285714285714286,0.9183673469387755,408,2.0816326530612246,37.68,-121
5.9345,23,7.287625418060201,1.0301003344481605,926,3.096989966555184,37.69,-121.91
2.1042,16,24.5,6.071428571428571,29,2.0714285714285716,33.82,-116.5
3.055,6,5.528,1.0346666666666666,826,2.2026666666666666,38.52,-122.76
5.0118,34,6.258865248,1.0070921985815602,772,2.7375886524822697,32.82,-116.92
3.1538,39,5.072463768115942,1.0483091787439613,895,4.323671497584541,33.92,-118.2
1.25,36,4.568047337278107,1.0710059171597632,1938,3.8224852071005917,33.95,-118.24
6.6635,14,7.500807754,1.0250403877221326,3565,2.879644588045234,33.94,-117.37
4.0327,5,5.283908045977012,1.2310344827586206,1916,2.2022988505747128,35.35,-119.1
2.875,42,4.284263959390863,1.0609137055837563,2038,3.448392555,33.95,-118.36
5.5693,38,7.263888888888889,1.1111111111111112,226,3.138888888888889,37.99,-121.23
3.0405,43,4.6657142857142855,1.0142857142857142,837,2.3914285714285715,33.87,-118.12
4.537,33,4.556989247311828,1.1268817204301076,872,1.875268817204301,33.74,-118.1
12.3767,27,7.737037037037037,1.1222222222222222,654,2.422222222222222,34.12,-118.42
